Category,Name,Price_Clean,Rating,Reviews,Name_Word_Count,Price_Category_Rank,URL
Home Garden,"BULLCAPTAIN Genuine Leather RFID Blocking Wallet for Men, Retro Thin Short Multi-functional ID Credit Card Holder Multiple Card Slots Purse with Gift Box, Gifts To Mens Birthday",11.99,0.0,0,27,13.0,"https://www.banggood.com/BULLCAPTAIN-Genuine-Leather-RFID-Blocking-Wallet-for-Men,Retro-Thin-Short-Multi-functional-ID-Credit-Card-Holder-Multiple-Card-Slots-Purse-with-Gift-Box,Gifts-To-Mens-Birthday-p-2017792.html?cur_warehouse=CN&ID=6287842&rmmds=CategoryShoesPop&trace_id=a5571763849367496"
Home Garden,BULLCAPTAIN Genuine Leather Business Messenger Bag Retro Mini Vintage Shoulder Bag Crossbody Bag for Men Multi-functional Leather Mobile Phone Bags,21.99,0.0,0,20,4.0,https://www.banggood.com/BULLCAPTAIN-Genuine-Leather-Business-Messenger-Bag-Retro-Mini-Vintage-Shoulder-Bag-Crossbody-Bag-for-Men-Multi-functional-Leather-Mobile-Phone-Bags-p-2019105.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryShoesPop&trace_id=a5571763849367496
Home Garden,Vintage Canvas Crossbody Bag for Men Adjustable Strap Large Capacity Multi-Layer Zipper Messenger Bags for Outdoor Sports Travel,15.29,0.0,0,18,9.0,https://www.banggood.com/Vintage-Canvas-Crossbody-Bag-for-Men-Adjustable-Strap-Large-Capacity-Multi-Layer-Zipper-Messenger-Bags-for-Outdoor-Sports-Travel-p-2036767.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryShoesPop&trace_id=a5571763849367496
Home Garden,"BULLCAPTAIN Mens Genuine Leather RFID Blocking Wallets, Thin Zipper Short Wallet Multiple Card Slots Coin Purse Holder Mini Business Wallet, Gifts To Mens Birthday",6.99,0.0,0,24,22.0,"https://www.banggood.com/BULLCAPTAIN-Mens-Genuine-Leather-RFID-Blocking-Wallets,Thin-Zipper-Short-Wallet-Multiple-Card-Slots-Coin-Purse-Holder-Mini-Business-Wallet,Gifts-To-Mens-Birthday-p-2017784.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryShoesPop&trace_id=a5571763849367496"
Home Garden,BULLCAPTAIN Genuine Leather Waist Pack Mens Small Fanny Belt Bag Travel Phone Pouch Male Work Leather Waist Bag,17.29,0.0,0,18,7.0,https://www.banggood.com/BULLCAPTAIN-Genuine-Leather-Waist-Pack-Mens-Small-Fanny-Belt-Bag-Travel-Phone-Pouch-Male-Work-Leather-Waist-Bag-p-2019114.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryShoesPop&trace_id=a5571763849367496
Home Garden,BULLCAPTAIN Mens Casual Shoulder Bag High Quality Business Messenger Bag Cowhide Leather Mini Pocket Large Capacity Bag for Men,20.49,0.0,0,19,5.0,https://www.banggood.com/BULLCAPTAIN-Mens-Casual-Shoulder-Bag-High-Quality-Business-Messenger-Bag-Cowhide-Leather-Mini-Pocket-Large-Capacity-Bag-for-Men-p-2020173.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryShoesPop&trace_id=a5571763849367496
Home Garden,Mens Large Capacity Business Casual Crossbody Bag Multiple Pockets Soft Lightweight Nylon Fabric Adjustable Strap Messenger Bag,10.29,0.0,0,17,17.0,https://www.banggood.com/Mens-Large-Capacity-Business-Casual-Crossbody-Bag-Multiple-Pockets-Soft-Lightweight-Nylon-Fabric-Adjustable-Strap-Messenger-Bag-p-2033440.html?cur_warehouse=CN&ID=6287941&rmmds=CategoryShoesPop&trace_id=a5571763849367496
Home Garden,Vertical 5-7.5 inch Phone Holster Case Waist Bag with Belt Clip Portable Nylon Pouch Cover L-XXXL,6.99,0.0,0,16,22.0,https://www.banggood.com/Vertical-5-7_5-inch-Phone-Holster-Case-Waist-Bag-with-Belt-Clip-Portable-Nylon-Pouch-Cover-L-XXXL-p-2036766.html?cur_warehouse=CN&ID=6287620&rmmds=CategoryShoesPop&trace_id=a5571763849367496
Home Garden,"BULLCAPTAIN Genuine Leather Mens Wallet, Large Capacity RFID Blocking Wallet, Casual Retro Multifunctional Card Slots Purse, Card Bag with Anti-lost Chain,Wallet Gifts for Men with Gift Box",13.49,0.0,0,27,11.0,"https://www.banggood.com/BULLCAPTAIN-Genuine-Leather-Mens-Wallet,Large-Capacity-RFID-Blocking-Wallet,Casual-Retro-Multifunctional-Card-Slots-Purse,Card-Bag-with-Anti-lost-Chain,Wallet-Gifts-for-Men-with-Gift-Box-p-2017787.html?cur_warehouse=CN&ID=6287841&rmmds=CategoryShoesPop&trace_id=a5571763849367496"
Home Garden,BULLCAPTAIN Mens Genuine Leather Crossbody Bag Business Casual Shoulder Bag Small Fashion Messenger Handbag Stylish Design,19.29,0.0,0,16,6.0,https://www.banggood.com/BULLCAPTAIN-Mens-Genuine-Leather-Crossbody-Bag-Business-Casual-Shoulder-Bag-Small-Fashion-Messenger-Handbag-Stylish-Design-p-2019223.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryShoesPop&trace_id=a5571763849367496
